product_name,review
Thinkpad T480s TS i7 8650U 16GB 512GB / ThinkPad T480s i5 i7 8th / thinkpad T480s,"packing aman, spesifikasi sesuai, barang mulus (hnya sedikit berdebu di keyboardnya tp tdk Msalah) dan seller ramah"
ThinkPad T14 Gen 2 Intel / T14 Gen 1 / thinkpad T14 G1 G2 Intel / T14,"Seller baik banget mau bantu jawab semua pertanyaan, barang mulus bener-bener seperti beli baru, semua port sudah dicoba dan berjalan normal mulai dari RJ-45, display por..."
ThinkPad X380 X390 YOGA i7 8th / ThinkPad X390 X380 Yoga i5 8th / thinkpad X390 yoga X380 yoga / thinkpad yoga,"adminnya responsif Wak, ramah dan barang seperti baru, gacor kang😹🔥"
,"bagus bgt so far, nice2, semoga awet"
,"mulus banget rekkk, mantap sellernya"
,"Udah saya coba dari jam 12 siang sampe jam 12 malam nonstop. amannn, semoga awet."
ThinkPad T15 Gen 2 / thinkpad T15 Gen 1 / thinkpad T15 G1 G2 / t15,"barang sampai tepat waktu, walaupun bekas kondisi sempurna, seller sangat fast respon dan sangat membantu pembeli, pokoknya ga nyesal beli disini"
Thinkpad T480 Core i7 16GB 512GB / ThinkPad T480 Core i5 / thinkpad T480,"akhir nya sampai barang nya, terimakasih buat toko dan abang kurir nya semoga awet ya"
ThinkPad L13 Gen 2 / Thinkpad L13 Gen 1 / thinkpad L13 G1 G2,Semoga awet...
Thinkpad T480s Core i7 / thinkpad T480s i5 / T480s t480s,"tidak ragu kasih bintang 5. Barang kualitas baik, Spesifikasi sesuai pesanan dan packing aman walaupun kirim ke daerah..mantap recommended seller."
Dell Latitude 7400 i5 8th 16GB 512GB / Dell latitude 7390 7490 7300,laptopnya bagus dan berfungsi dengan baik
Thinkpad T480 Core i7 16GB 512GB / ThinkPad T480 Core i5 / thinkpad T480,"sesuai diskripsi unit yang dikirim, pengiriman lebih cepat dari estimasi kedatangan, top buat Toko yang amanah...terima kasih..puas"
